0.00000	0.13230	0.34327	0.45047	0.59213	0.64300	0.73126	0.77746	0.85479	0.86644	0.93966	0.94722	0.97389	1.02291	1.05434	1.04878	1.07050	1.08635	1.11458	1.16630	1.14025	1.17822	1.19457	1.20363	1.22392	1.12161	1.24155	1.24856	1.25016	1.25556	1.20685	1.26475	0.05781
-0.13230	0.00000	0.21097	0.31818	0.45983	0.51071	0.59896	0.64516	0.72249	0.73414	0.80736	0.81492	0.84159	0.89061	0.92205	0.91648	0.93821	0.95405	0.98229	1.03401	1.00795	1.04592	1.06227	1.07133	1.09162	0.98931	1.10925	1.11626	1.11786	1.12326	1.07455	1.13245	-0.07448
-0.34327	-0.21097	0.00000	0.10721	0.24886	0.29974	0.38799	0.43419	0.51152	0.52317	0.59639	0.60395	0.63062	0.67964	0.71108	0.70551	0.72724	0.74308	0.77132	0.82304	0.79698	0.83495	0.85130	0.86036	0.88065	0.77834	0.89828	0.90529	0.90689	0.91229	0.86358	0.92148	-0.28545
-0.45047	-0.31818	-0.10721	0.00000	0.14165	0.19253	0.28078	0.32698	0.40431	0.41597	0.48918	0.49675	0.52341	0.57243	0.60387	0.59830	0.62003	0.63588	0.66411	0.71583	0.68978	0.72775	0.74410	0.75316	0.77344	0.67114	0.79108	0.79808	0.79969	0.80509	0.75637	0.81427	-0.39266
-0.59213	-0.45983	-0.24886	-0.14165	0.00000	0.05088	0.13913	0.18533	0.26266	0.27432	0.34753	0.35510	0.38176	0.43078	0.46222	0.45665	0.47838	0.49423	0.52246	0.57418	0.54813	0.58610	0.60245	0.61151	0.63179	0.52949	0.64943	0.65643	0.65804	0.66344	0.61472	0.67262	-0.53431
-0.64300	-0.51071	-0.29974	-0.19253	-0.05088	0.00000	0.08825	0.13445	0.21178	0.22344	0.29665	0.30422	0.33088	0.37990	0.41134	0.40577	0.42750	0.44335	0.47158	0.52330	0.49725	0.53522	0.55157	0.56063	0.58091	0.47861	0.59855	0.60555	0.60716	0.61256	0.56384	0.62174	-0.58519
-0.73126	-0.59896	-0.38799	-0.28078	-0.13913	-0.08825	0.00000	0.04620	0.12353	0.13518	0.20840	0.21596	0.24263	0.29165	0.32308	0.31752	0.33925	0.35509	0.38333	0.43505	0.40899	0.44696	0.46331	0.47237	0.49266	0.39035	0.51029	0.51730	0.51890	0.52430	0.47559	0.53349	-0.67344
-0.77746	-0.64516	-0.43419	-0.32698	-0.18533	-0.13445	-0.04620	0.00000	0.07733	0.08898	0.16220	0.16976	0.19643	0.24545	0.27688	0.27132	0.29305	0.30889	0.33712	0.38884	0.36279	0.40076	0.41711	0.42617	0.44646	0.34415	0.46409	0.47110	0.47270	0.47810	0.42939	0.48729	-0.71965
-0.85479	-0.72249	-0.51152	-0.40431	-0.26266	-0.21178	-0.12353	-0.07733	0.00000	0.01165	0.08487	0.09243	0.11910	0.16812	0.19956	0.19399	0.21572	0.23156	0.25980	0.31152	0.28546	0.32344	0.33979	0.34885	0.36913	0.26683	0.38677	0.39377	0.39537	0.40078	0.35206	0.40996	-0.79697
-0.86644	-0.73414	-0.52317	-0.41597	-0.27432	-0.22344	-0.13518	-0.08898	-0.01165	0.00000	0.07322	0.08078	0.10745	0.15647	0.18790	0.18233	0.20406	0.21991	0.24814	0.29986	0.27381	0.31178	0.32813	0.33719	0.35748	0.25517	0.37511	0.38211	0.38372	0.38912	0.34041	0.39831	-0.80863
-0.93966	-0.80736	-0.59639	-0.48918	-0.34753	-0.29665	-0.20840	-0.16220	-0.08487	-0.07322	0.00000	0.00756	0.03423	0.08325	0.11468	0.10912	0.13085	0.14669	0.17492	0.22664	0.20059	0.23856	0.25491	0.26397	0.28426	0.18195	0.30189	0.30890	0.31050	0.31590	0.26719	0.32509	-0.88184
-0.94722	-0.81492	-0.60395	-0.49675	-0.35510	-0.30422	-0.21596	-0.16976	-0.09243	-0.08078	-0.00756	0.00000	0.02667	0.07569	0.10712	0.10155	0.12328	0.13913	0.16736	0.21908	0.19303	0.23100	0.24735	0.25641	0.27670	0.17439	0.29433	0.30134	0.30294	0.30834	0.25963	0.31753	-0.88941
-0.97389	-0.84159	-0.63062	-0.52341	-0.38176	-0.33088	-0.24263	-0.19643	-0.11910	-0.10745	-0.03423	-0.02667	0.00000	0.04902	0.08046	0.07489	0.09662	0.11246	0.14070	0.19242	0.16636	0.20433	0.22069	0.22974	0.25003	0.14772	0.26766	0.27467	0.27627	0.28167	0.23296	0.29086	-0.91607
-1.02291	-0.89061	-0.67964	-0.57243	-0.43078	-0.37990	-0.29165	-0.24545	-0.16812	-0.15647	-0.08325	-0.07569	-0.04902	0.00000	0.03144	0.02587	0.04760	0.06344	0.09168	0.14340	0.11734	0.15531	0.17166	0.18072	0.20101	0.09870	0.21864	0.22565	0.22725	0.23265	0.18394	0.24184	-0.96509
-1.05434	-0.92205	-0.71108	-0.60387	-0.46222	-0.41134	-0.32308	-0.27688	-0.19956	-0.18790	-0.11468	-0.10712	-0.08046	-0.03144	0.00000	-0.00557	0.01616	0.03201	0.06024	0.11196	0.08591	0.12388	0.14023	0.14929	0.16957	0.06727	0.18721	0.19421	0.19582	0.20122	0.15250	0.21040	-0.99653
-1.04878	-0.91648	-0.70551	-0.59830	-0.45665	-0.40577	-0.31752	-0.27132	-0.19399	-0.18233	-0.10912	-0.10155	-0.07489	-0.02587	0.00557	0.00000	0.02173	0.03757	0.06581	0.11753	0.09148	0.12945	0.14580	0.15486	0.17514	0.07284	0.19278	0.19978	0.20139	0.20679	0.15807	0.21597	-0.99096
