# Curve 0 of 1, 3600 points
# Curve title: ""P3DT-TS1_CDFT_PBE_theta2_BA_Loch_ordered.dat" u 1:3"
# x y type
 0 -0.626716  i
 0.100028 -0.62699  i
 0.200056 -0.627265  i
 0.300083 -0.62754  i
 0.400111 -0.627816  i
 0.500139 -0.628092  i
 0.600167 -0.628368  i
 0.700194 -0.628645  i
 0.800222 -0.628922  i
 0.90025 -0.629201  i
 1.00028 -0.62948  i
 1.10031 -0.629761  i
 1.20033 -0.630042  i
 1.30036 -0.630325  i
 1.40039 -0.630609  i
 1.50042 -0.630895  i
 1.60044 -0.631182  i
 1.70047 -0.63147  i
 1.8005 -0.631761  i
 1.90053 -0.632053  i
 2.00056 -0.632348  i
 2.10058 -0.632644  i
 2.20061 -0.632942  i
 2.30064 -0.633243  i
 2.40067 -0.633546  i
 2.50069 -0.633852  i
 2.60072 -0.63416  i
 2.70075 -0.634471  i
 2.80078 -0.634784  i
 2.90081 -0.635101  i
 3.00083 -0.63542  i
 3.10086 -0.635743  i
 3.20089 -0.636068  i
 3.30092 -0.636397  i
 3.40094 -0.63673  i
 3.50097 -0.637065  i
 3.601 -0.637405  i
 3.70103 -0.637748  i
 3.80106 -0.638095  i
 3.90108 -0.638446  i
 4.00111 -0.638801  i
 4.10114 -0.63916  i
 4.20117 -0.639523  i
 4.30119 -0.63989  i
 4.40122 -0.640262  i
 4.50125 -0.640638  i
 4.60128 -0.641019  i
 4.70131 -0.641405  i
 4.80133 -0.641796  i
 4.90136 -0.642191  i
 5.00139 -0.642592  i
 5.10142 -0.642997  i
 5.20144 -0.643408  i
 5.30147 -0.643825  i
 5.4015 -0.644246  i
 5.50153 -0.644673  i
 5.60156 -0.645106  i
 5.70158 -0.645545  i
 5.80161 -0.645989  i
 5.90164 -0.64644  i
 6.00167 -0.646896  i
 6.10169 -0.647359  i
 6.20172 -0.647828  i
 6.30175 -0.648303  i
 6.40178 -0.648785  i
 6.50181 -0.649273  i
 6.60183 -0.649768  i
 6.70186 -0.65027  i
 6.80189 -0.650778  i
 6.90192 -0.651294  i
 7.00194 -0.651817  i
 7.10197 -0.652347  i
 7.202 -0.652884  i
 7.30203 -0.653428  i
 7.40206 -0.65398  i
 7.50208 -0.65454  i
 7.60211 -0.655107  i
 7.70214 -0.655683  i
 7.80217 -0.656266  i
 7.9022 -0.656857  i
 8.00222 -0.657456  i
 8.10225 -0.658063  i
 8.20228 -0.658679  i
 8.30231 -0.659303  i
 8.40233 -0.659936  i
 8.50236 -0.660577  i
 8.60239 -0.661227  i
 8.70242 -0.661886  i
 8.80245 -0.662554  i
 8.90247 -0.66323  i
 9.0025 -0.663916  i
 9.10253 -0.664611  i
 9.20256 -0.665316  i
 9.30258 -0.66603  i
 9.40261 -0.666753  i
 9.50264 -0.667487  i
 9.60267 -0.668229  i
 9.7027 -0.668982  i
 9.80272 -0.669745  i
 9.90275 -0.670518  i
 10.0028 -0.671301  i
 10.1028 -0.672094  i
 10.2028 -0.672897  i
 10.3029 -0.67371  i
 10.4029 -0.674533  i
 10.5029 -0.675365  i
 10.6029 -0.676207  i
 10.703 -0.677058  i
 10.803 -0.677918  i
 10.903 -0.678786  i
 11.0031 -0.679664  i
 11.1031 -0.680549  i
 11.2031 -0.681443  i
 11.3031 -0.682346  i
 11.4032 -0.683255  i
 11.5032 -0.684173  i
 11.6032 -0.685098  i
 11.7033 -0.686031  i
 11.8033 -0.68697  i
 11.9033 -0.687917  i
 12.0033 -0.688871  i
 12.1034 -0.689831  i
 12.2034 -0.690797  i
 12.3034 -0.69177  i
 12.4034 -0.692749  i
 12.5035 -0.693734  i
 12.6035 -0.694724  i
 12.7035 -0.69572  i
 12.8036 -0.696721  i
 12.9036 -0.697728  i
 13.0036 -0.698739  i
 13.1036 -0.699755  i
 13.2037 -0.700776  i
 13.3037 -0.701801  i
 13.4037 -0.702831  i
 13.5038 -0.703864  i
 13.6038 -0.704902  i
 13.7038 -0.705943  i
 13.8038 -0.706988  i
 13.9039 -0.708036  i
 14.0039 -0.709087  i
 14.1039 -0.710141  i
 14.2039 -0.711198  i
 14.304 -0.712258  i
 14.404 -0.71332  i
 14.504 -0.714384  i
 14.6041 -0.71545  i
 14.7041 -0.716518  i
 14.8041 -0.717588  i
 14.9041 -0.71866  i
 15.0042 -0.719732  i
 15.1042 -0.720806  i
 15.2042 -0.721881  i
 15.3043 -0.722957  i
 15.4043 -0.724033  i
 15.5043 -0.725109  i
 15.6043 -0.726186  i
 15.7044 -0.727263  i
 15.8044 -0.72834  i
 15.9044 -0.729417  i
 16.0044 -0.730493  i
 16.1045 -0.731568  i
 16.2045 -0.732643  i
 16.3045 -0.733716  i
 16.4046 -0.734788  i
 16.5046 -0.735859  i
 16.6046 -0.736929  i
 16.7046 -0.737996  i
 16.8047 -0.739062  i
 16.9047 -0.740125  i
 17.0047 -0.741186  i
 17.1048 -0.742245  i
 17.2048 -0.743301  i
 17.3048 -0.744354  i
 17.4048 -0.745404  i
 17.5049 -0.746451  i
 17.6049 -0.747495  i
 17.7049 -0.748535  i
 17.8049 -0.749571  i
 17.905 -0.750603  i
 18.005 -0.751631  i
 18.105 -0.752655  i
 18.2051 -0.753674  i
 18.3051 -0.754689  i
 18.4051 -0.755698  i
 18.5051 -0.756703  i
 18.6052 -0.757703  i
 18.7052 -0.758697  i
 18.8052 -0.759685  i
 18.9053 -0.760668  i
 19.0053 -0.761645  i
 19.1053 -0.762615  i
 19.2053 -0.763579  i
 19.3054 -0.764537  i
 19.4054 -0.765488  i
