# Curve 0 of 1, 3600 points
# Curve title: ""P3DT-TS1_Loch_AB_CDFT_PBE_theta_AB.dat" u 1:9"
# x y type
 19.6054 -1.0185  o
 19.7055 -1.01898  o
 19.8055 -1.01945  o
 19.9055 -1.0199  o
 20.0056 -1.02035  o
 20.1056 -1.02078  o
 20.2056 -1.0212  o
 20.3056 -1.0216  o
 20.4057 -1.022  o
 20.5057 -1.02238  o
 20.6057 -1.02275  o
 20.7058 -1.02311  o
 20.8058 -1.02346  o
 20.9058 -1.0238  o
 21.0058 -1.02413  o
 21.1059 -1.02444  o
 21.2059 -1.02475  o
 21.3059 -1.02504  o
 21.4059 -1.02533  o
 21.506 -1.0256  o
 21.606 -1.02587  o
 21.706 -1.02613  o
 21.8061 -1.02637  o
 21.9061 -1.02661  o
 22.0061 -1.02684  o
 22.1061 -1.02706  o
 22.2062 -1.02728  o
 22.3062 -1.02748  o
 22.4062 -1.02768  o
 22.5063 -1.02787  o
 22.6063 -1.02805  o
 22.7063 -1.02822  o
 22.8063 -1.02839  o
 22.9064 -1.02855  o
 23.0064 -1.02871  o
 23.1064 -1.02885  o
 23.2064 -1.02899  o
 23.3065 -1.02913  o
 23.4065 -1.02926  o
 23.5065 -1.02938  o
 23.6066 -1.0295  o
 23.7066 -1.02961  o
 23.8066 -1.02972  o
 23.9066 -1.02982  o
 24.0067 -1.02992  o
 24.1067 -1.03002  o
 24.2067 -1.0301  o
 24.3068 -1.03019  o
 24.4068 -1.03027  o
 24.5068 -1.03035  o
 24.6068 -1.03043  o
 24.7069 -1.0305  o
 24.8069 -1.03057  o
 24.9069 -1.03063  o
 25.0069 -1.03069  o
 25.107 -1.03076  o
 25.207 -1.03081  o
 25.307 -1.03087  o
 25.4071 -1.03093  o
 25.5071 -1.03098  o
 25.6071 -1.03103  o
 25.7071 -1.03108  o
 25.8072 -1.03113  o
 25.9072 -1.03118  o
 26.0072 -1.03123  o
 26.1073 -1.03128  o
 26.2073 -1.03133  o
 26.3073 -1.03138  o
 26.4073 -1.03142  o
 26.5074 -1.03147  o
 26.6074 -1.03152  o
 26.7074 -1.03157  o
 26.8074 -1.03163  o
 26.9075 -1.03168  o
 27.0075 -1.03173  o
 27.1075 -1.03179  o
 27.2076 -1.03185  o
 27.3076 -1.03191  o
 27.4076 -1.03197  o
 27.5076 -1.03204  o
 27.6077 -1.03211  o
 27.7077 -1.03218  o
 27.8077 -1.03225  o
 27.9078 -1.03233  o
 28.0078 -1.03241  o
 28.1078 -1.0325  o
 28.2078 -1.03259  o
 28.3079 -1.03268  o
 28.4079 -1.03278  o
 28.5079 -1.03288  o
 28.6079 -1.03299  o
 28.708 -1.0331  o
 28.808 -1.03322  o
 28.908 -1.03334  o
 29.0081 -1.03347  o
 29.1081 -1.03361  o
 29.2081 -1.03375  o
 29.3081 -1.0339  o
 29.4082 -1.03405  o
 29.5082 -1.03421  o
 29.6082 -1.03438  o
 29.7083 -1.03455  o
 29.8083 -1.03473  o
 29.9083 -1.03492  o
 30.0083 -1.03512  o
 30.1084 -1.03532  o
 30.2084 -1.03554  o
 30.3084 -1.03576  o
 30.4084 -1.03598  o
 30.5085 -1.03622  o
 30.6085 -1.03646  o
 30.7085 -1.03671  o
 30.8086 -1.03696  o
 30.9086 -1.03722  o
 31.0086 -1.03749  o
 31.1086 -1.03777  o
 31.2087 -1.03805  o
 31.3087 -1.03834  o
 31.4087 -1.03863  o
 31.5088 -1.03893  o
 31.6088 -1.03923  o
 31.7088 -1.03954  o
 31.8088 -1.03985  o
 31.9089 -1.04017  o
 32.0089 -1.0405  o
 32.1089 -1.04082  o
 32.2089 -1.04116  o
 32.309 -1.04149  o
 32.409 -1.04184  o
 32.509 -1.04218  o
 32.6091 -1.04253  o
 32.7091 -1.04288  o
 32.8091 -1.04324  o
